ThreadID,ThreadColor,StudentReplyID,InstructorReplyID
8614abe6-e792-4699-9d7b-95cbf62ca4ff,2,afdf87e4-32fd-4965-aab7-3de723d5a5b6,
c7e4f3b9-6d5d-48a3-a859-4a2164f9577a,2,55d45386-c138-469a-84cb-dbb50cc12d54,
042c817a-b186-438d-b494-1869aa39e410,0,,
7cb52507-9a79-4d35-a675-7ea2db1d30bf,0,,
eeec72f5-29ac-405f-b263-954a71ac6c72,0,,
c746241b-25fb-4061-9b94-1002dd319ea0,2,a9ee32e2-142e-4abe-8148-a7c53f56ad45,
e2f80818-0e3b-4d23-b41e-cb00f0f9ae37,0,,
b336c4f3-e196-4503-a128-b24a9fdbbe98,0,,
e5f2a46f-3268-4b31-a3e9-6c7b690e76c0,0,,
a903ebdc-e090-4c96-8ef3-f4d67ffa58d9,2,5a4068b6-e64a-41a7-85f7-7b64bef3300e,
9f4b1e0d-7bac-4e21-ac8d-e5b4252c5ebc,0,,
269139e8-5b07-4b1f-8539-d1159b2a5b60,0,,
090d0e70-43b9-464a-b308-685b8f01ddc9,0,,
801affa5-c555-4874-aa07-cd2469e172db,0,,
d723ca1f-f7a7-4b3e-8330-082d8785c507,0,,
8932fc26-21b1-4386-8abe-f30c7fbc88b5,0,,
4d4ac60d-3825-41bc-af0a-86e521847990,0,,
94fc116b-37ac-4b84-a891-8aefb0df59e6,2,2a0612fd-72f2-46e1-b5ad-fa83dfde3609,
0fba6d10-eb81-4f81-a44c-8cb496921e47,0,,
d47c62d5-d2e5-4f03-96bb-29c7814312db,0,,
