UserID,CourseID
babb1ee8-0a4c-407e-b57e-1a0a1a74a86e,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
41c998a7-e366-4a11-a78a-b5c811315f8f,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
a5475f50-351d-41db-a528-e4a214e43a52,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
b5337e9d-b0d1-4ef1-9e21-808fce5b1668,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
eff073c6-9d40-44e0-84f9-fb9d75801ad3,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
fa1d0b8a-e557-406f-8643-744a5c4c1f0b,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
196d44f2-e1f5-4d26-8b1e-5a51aaa20d10,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
59560743-e515-4202-9aca-83959f7d7a12,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
fd55459e-b0bb-489d-a8d2-7e68ca70c091,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
590827da-c4b7-414b-ae0a-1d8c58313d51,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
efb16bae-a92c-44fb-bff3-48b0559f879e,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
c0c02418-ddfc-489e-94dc-4ee01b0bf23d,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
1efcdeb6-ed47-4e89-9b31-879674a2e61d,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
6cbb759e-a8ca-4714-b4d0-03a4c22a8c77,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
9df6207a-8415-49a2-bd53-d5805106826a,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
feac4131-b0a4-4940-8840-134d60fed92a,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
863fe2c5-7cbf-4914-b6ec-42e22fd6b0c3,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
45ed5142-071e-4da0-8a2f-e806a078d7fb,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
8d23af74-0250-460b-be2c-03533fa94693,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
4fb06c4d-f65c-4a0c-9a25-2772a0e335fe,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
682d794e-b749-4a4f-ac4e-47c9baf22d7c,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
460de21c-8afd-45c5-84ee-9693f39857e9,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
939aaa41-ca0c-48b7-b5b9-64bf80695d9f,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
b772a92a-56e4-4c33-818d-00113ae14f39,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
ddd108b9-f2fe-4476-a9ab-1896b2acbdda,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
f9f0b9b5-f1bd-4a37-bc5e-e95ebf785ae7,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
4dd8f537-27f3-4a55-ada2-23c72c077468,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
c94993fa-7e17-48f9-a8c5-379f19f2905b,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
f280af32-c46d-4231-9b48-7b557bcdac24,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
1d9358c5-091e-4e69-8dc2-3279e0d5bf1c,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
e5054ed5-7f43-4a43-a862-26b679004735,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
f309ef30-596c-47bf-b0a6-628922d40acb,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
7b2a800b-4315-4999-b5f5-36de480e6b81,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
4e58be5a-f261-472f-b1d6-f5ea203dc710,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
61dc7d4b-fd52-45ec-bf1f-8dc6c655cb4e,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
4d6f23fd-b2c6-45b0-9a82-c01b65880ce4,3296b6fb-4324-4cd1-a5bb-4ab1b8cbbc08
